Print quanity,Cover type,Book size,Page count,Colour printing,Shipping ,Print Days,Minimum Shipping Days,Max Shipping Days,Ships to,Currency,Total price,Per book price,Source currency,Printer name,Currency rate
100,Softcover PUR,A5,112,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1134,11.34,AUD,BPC,1
100,Softcover PUR,A5,120,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1166,11.66,AUD,BPC,1
100,Softcover PUR,A5,128,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1197,11.97,AUD,BPC,1
100,Softcover PUR,A5,136,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1229,12.29,AUD,BPC,1
100,Softcover PUR,A5,144,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1260,12.6,AUD,BPC,1
100,Softcover PUR,A5,152,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1292,12.92,AUD,BPC,1
100,Softcover PUR,A5,160,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1323,13.23,AUD,BPC,1
100,Softcover PUR,A5,168,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1355,13.55,AUD,BPC,1
100,Softcover PUR,A5,176,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1386,13.86,AUD,BPC,1
100,Softcover PUR,A5,184,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1418,14.18,AUD,BPC,1
100,Softcover PUR,A5,192,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1449,14.49,AUD,BPC,1
100,Softcover PUR,A5,200,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1481,14.81,AUD,BPC,1
100,Softcover PUR,A5,208,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1512,15.12,AUD,BPC,1
100,Softcover PUR,A5,216,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1544,15.44,AUD,BPC,1
100,Softcover PUR,A5,224,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1575,15.75,AUD,BPC,1
100,Softcover PUR,A5,232,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1607,16.07,AUD,BPC,1
100,Softcover PUR,A5,240,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1638,16.38,AUD,BPC,1
150,Softcover PUR,A5,32,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1134,7.56,AUD,BPC,1
150,Softcover PUR,A5,40,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1186.5,7.91,AUD,BPC,1
150,Softcover PUR,A5,48,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1239,8.26,AUD,BPC,1
150,Softcover PUR,A5,56,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1291.5,8.61,AUD,BPC,1
150,Softcover PUR,A5,64,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1344,8.96,AUD,BPC,1
150,Softcover PUR,A5,72,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1396.5,9.31,AUD,BPC,1
150,Softcover PUR,A5,80,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1449,9.66,AUD,BPC,1
150,Softcover PUR,A5,88,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1501.5,10.01,AUD,BPC,1
150,Softcover PUR,A5,96,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1554,10.36,AUD,BPC,1
150,Softcover PUR,A5,104,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1606.5,10.71,AUD,BPC,1
150,Softcover PUR,A5,112,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1659,11.06,AUD,BPC,1
150,Softcover PUR,A5,120,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1711.5,11.41,AUD,BPC,1
150,Softcover PUR,A5,128,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1764,11.76,AUD,BPC,1
150,Softcover PUR,A5,136,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1816.5,12.11,AUD,BPC,1
150,Softcover PUR,A5,144,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1869,12.46,AUD,BPC,1
150,Softcover PUR,A5,152,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1921.5,12.81,AUD,BPC,1
150,Softcover PUR,A5,160,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1974,13.16,AUD,BPC,1
150,Softcover PUR,A5,168,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2026.5,13.51,AUD,BPC,1
150,Softcover PUR,A5,176,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2079,13.86,AUD,BPC,1
150,Softcover PUR,A5,184,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2131.5,14.21,AUD,BPC,1
150,Softcover PUR,A5,192,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2184,14.56,AUD,BPC,1
150,Softcover PUR,A5,200,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2236.5,14.91,AUD,BPC,1
150,Softcover PUR,A5,208,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2289,15.26,AUD,BPC,1
150,Softcover PUR,A5,216,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2341.5,15.61,AUD,BPC,1
150,Softcover PUR,A5,224,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2394,15.96,AUD,BPC,1
150,Softcover PUR,A5,232,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2446.5,16.31,AUD,BPC,1
150,Softcover PUR,A5,240,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2499,16.66,AUD,BPC,1
200,Softcover PUR,A5,32,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1428,7.14,AUD,BPC,1
200,Softcover PUR,A5,40,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1480,7.4,AUD,BPC,1
200,Softcover PUR,A5,48,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1554,7.77,AUD,BPC,1
200,Softcover PUR,A5,56,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1628,8.14,AUD,BPC,1
200,Softcover PUR,A5,64,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1702,8.51,AUD,BPC,1
200,Softcover PUR,A5,72,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1774,8.87,AUD,BPC,1
200,Softcover PUR,A5,80,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1848,9.24,AUD,BPC,1
200,Softcover PUR,A5,88,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1922,9.61,AUD,BPC,1
200,Softcover PUR,A5,96,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1996,9.98,AUD,BPC,1
200,Softcover PUR,A5,104,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2068,10.34,AUD,BPC,1
200,Softcover PUR,A5,112,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2142,10.71,AUD,BPC,1
200,Softcover PUR,A5,120,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2216,11.08,AUD,BPC,1
200,Softcover PUR,A5,128,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2290,11.45,AUD,BPC,1
200,Softcover PUR,A5,136,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2362,11.81,AUD,BPC,1
200,Softcover PUR,A5,144,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2436,12.18,AUD,BPC,1
200,Softcover PUR,A5,152,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2510,12.55,AUD,BPC,1
200,Softcover PUR,A5,160,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2584,12.92,AUD,BPC,1
200,Softcover PUR,A5,168,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2656,13.28,AUD,BPC,1
200,Softcover PUR,A5,176,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2730,13.65,AUD,BPC,1
200,Softcover PUR,A5,184,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2804,14.02,AUD,BPC,1
200,Softcover PUR,A5,192,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2878,14.39,AUD,BPC,1
200,Softcover PUR,A5,200,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2950,14.75,AUD,BPC,1
200,Softcover PUR,A5,208,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3024,15.12,AUD,BPC,1
200,Softcover PUR,A5,216,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3098,15.49,AUD,BPC,1
200,Softcover PUR,A5,224,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3172,15.86,AUD,BPC,1
200,Softcover PUR,A5,232,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3244,16.22,AUD,BPC,1
200,Softcover PUR,A5,240,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3318,16.59,AUD,BPC,1
250,Softcover PUR,A5,32,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1540,6.16,AUD,BPC,1
250,Softcover PUR,A5,40,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1632.5,6.53,AUD,BPC,1
250,Softcover PUR,A5,48,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1725,6.9,AUD,BPC,1
250,Softcover PUR,A5,56,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1817.5,7.27,AUD,BPC,1
250,Softcover PUR,A5,64,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1907.5,7.63,AUD,BPC,1
250,Softcover PUR,A5,72,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2000,8,AUD,BPC,1
250,Softcover PUR,A5,80,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2092.5,8.37,AUD,BPC,1
250,Softcover PUR,A5,88,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2185,8.74,AUD,BPC,1
250,Softcover PUR,A5,96,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2277.5,9.11,AUD,BPC,1
250,Softcover PUR,A5,104,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2370,9.48,AUD,BPC,1
250,Softcover PUR,A5,112,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2462.5,9.85,AUD,BPC,1
250,Softcover PUR,A5,120,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2555,10.22,AUD,BPC,1
250,Softcover PUR,A5,128,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2647.5,10.59,AUD,BPC,1
250,Softcover PUR,A5,136,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2740,10.96,AUD,BPC,1
250,Softcover PUR,A5,144,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2830,11.32,AUD,BPC,1
250,Softcover PUR,A5,152,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2922.5,11.69,AUD,BPC,1
250,Softcover PUR,A5,160,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3015,12.06,AUD,BPC,1
250,Softcover PUR,A5,168,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3107.5,12.43,AUD,BPC,1
250,Softcover PUR,A5,176,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3200,12.8,AUD,BPC,1
250,Softcover PUR,A5,184,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3292.5,13.17,AUD,BPC,1
250,Softcover PUR,A5,192,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3385,13.54,AUD,BPC,1
250,Softcover PUR,A5,200,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3477.5,13.91,AUD,BPC,1
250,Softcover PUR,A5,208,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3570,14.28,AUD,BPC,1
250,Softcover PUR,A5,216,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3662.5,14.65,AUD,BPC,1
250,Softcover PUR,A5,224,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3752.5,15.01,AUD,BPC,1
250,Softcover PUR,A5,232,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3845,15.38,AUD,BPC,1
250,Softcover PUR,A5,240,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3937.5,15.75,AUD,BPC,1
300,Softcover PUR,A5,32,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1683,5.61,AUD,BPC,1
300,Softcover PUR,A5,40,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1785,5.95,AUD,BPC,1
300,Softcover PUR,A5,48,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1890,6.3,AUD,BPC,1
300,Softcover PUR,A5,56,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1995,6.65,AUD,BPC,1
300,Softcover PUR,A5,64,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2100,7,AUD,BPC,1
300,Softcover PUR,A5,72,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2205,7.35,AUD,BPC,1
300,Softcover PUR,A5,80,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2310,7.7,AUD,BPC,1
300,Softcover PUR,A5,88,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2412,8.04,AUD,BPC,1
300,Softcover PUR,A5,96,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2517,8.39,AUD,BPC,1
300,Softcover PUR,A5,104,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2622,8.74,AUD,BPC,1
300,Softcover PUR,A5,112,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2727,9.09,AUD,BPC,1
300,Softcover PUR,A5,120,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2832,9.44,AUD,BPC,1
300,Softcover PUR,A5,128,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2937,9.79,AUD,BPC,1
300,Softcover PUR,A5,136,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3039,10.13,AUD,BPC,1
300,Softcover PUR,A5,144,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3144,10.48,AUD,BPC,1
300,Softcover PUR,A5,152,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3249,10.83,AUD,BPC,1
300,Softcover PUR,A5,160,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3354,11.18,AUD,BPC,1
300,Softcover PUR,A5,168,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3459,11.53,AUD,BPC,1
300,Softcover PUR,A5,176,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3564,11.88,AUD,BPC,1
300,Softcover PUR,A5,184,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3666,12.22,AUD,BPC,1
300,Softcover PUR,A5,192,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3771,12.57,AUD,BPC,1
300,Softcover PUR,A5,200,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3876,12.92,AUD,BPC,1
300,Softcover PUR,A5,208,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3981,13.27,AUD,BPC,1
300,Softcover PUR,A5,216,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,4086,13.62,AUD,BPC,1
300,Softcover PUR,A5,224,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,4191,13.97,AUD,BPC,1
300,Softcover PUR,A5,232,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,4293,14.31,AUD,BPC,1
300,Softcover PUR,A5,240,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,4398,14.66,AUD,BPC,1
350,Softcover PUR,A5,32,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1715,4.9,AUD,BPC,1
350,Softcover PUR,A5,40,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1827,5.22,AUD,BPC,1
350,Softcover PUR,A5,48,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1935.5,5.53,AUD,BPC,1
350,Softcover PUR,A5,56,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2047.5,5.85,AUD,BPC,1
350,Softcover PUR,A5,64,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2156,6.16,AUD,BPC,1
350,Softcover PUR,A5,72,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2268,6.48,AUD,BPC,1
350,Softcover PUR,A5,80,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2380,6.8,AUD,BPC,1
350,Softcover PUR,A5,88,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2488.5,7.11,AUD,BPC,1
350,Softcover PUR,A5,96,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2600.5,7.43,AUD,BPC,1
350,Softcover PUR,A5,104,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2709,7.74,AUD,BPC,1
350,Softcover PUR,A5,112,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2821,8.06,AUD,BPC,1
350,Softcover PUR,A5,120,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2929.5,8.37,AUD,BPC,1
350,Softcover PUR,A5,128,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3041.5,8.69,AUD,BPC,1
350,Softcover PUR,A5,136,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3153.5,9.01,AUD,BPC,1
350,Softcover PUR,A5,144,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3262,9.32,AUD,BPC,1
350,Softcover PUR,A5,152,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3374,9.64,AUD,BPC,1
350,Softcover PUR,A5,160,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3482.5,9.95,AUD,BPC,1
350,Softcover PUR,A5,168,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3594.5,10.27,AUD,BPC,1
350,Softcover PUR,A5,176,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3703,10.58,AUD,BPC,1
350,Softcover PUR,A5,184,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3815,10.9,AUD,BPC,1
350,Softcover PUR,A5,192,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3927,11.22,AUD,BPC,1
350,Softcover PUR,A5,200,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,4035.5,11.53,AUD,BPC,1
350,Softcover PUR,A5,208,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,4147.5,11.85,AUD,BPC,1
350,Softcover PUR,A5,216,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,4256,12.16,AUD,BPC,1
350,Softcover PUR,A5,224,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,4368,12.48,AUD,BPC,1
350,Softcover PUR,A5,232,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,4476.5,12.79,AUD,BPC,1
350,Softcover PUR,A5,240,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,4588.5,13.11,AUD,BPC,1
400,Softcover PUR,A5,32,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1812,4.53,AUD,BPC,1
400,Softcover PUR,A5,40,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,1932,4.83,AUD,BPC,1
400,Softcover PUR,A5,48,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2052,5.13,AUD,BPC,1
400,Softcover PUR,A5,56,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2172,5.43,AUD,BPC,1
400,Softcover PUR,A5,64,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2292,5.73,AUD,BPC,1
400,Softcover PUR,A5,72,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2412,6.03,AUD,BPC,1
400,Softcover PUR,A5,80,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2532,6.33,AUD,BPC,1
400,Softcover PUR,A5,88,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2652,6.63,AUD,BPC,1
400,Softcover PUR,A5,96,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2772,6.93,AUD,BPC,1
400,Softcover PUR,A5,104,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,2892,7.23,AUD,BPC,1
400,Softcover PUR,A5,112,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3012,7.53,AUD,BPC,1
400,Softcover PUR,A5,120,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3132,7.83,AUD,BPC,1
400,Softcover PUR,A5,128,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3252,8.13,AUD,BPC,1
400,Softcover PUR,A5,136,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3372,8.43,AUD,BPC,1
400,Softcover PUR,A5,144,Black and white,Price excludes shipping,16 days,5 days,15 days,Australia only,AUD,3492,8.73,AUD,BPC,1
